id   ,customerid ,ProductID ,started             ,ended               ,category      ,created_timestamp ,users
34   ,425        ,34        ,2017-05-20 11:12:09 ,2019-10-01 04:48:15 ,other         ,1/20/2018         ,"[{""user_1"":{""id"":""35827c2881e3ad59802a4db389e6bba2""},""user_2"":{""id"":""8c620036e95c469a526dbc753f109e8f""}}]"
35   ,741        ,35        ,2017-08-24 09:33:48 ,2017-10-13 10:58:25 ,payment issue ,6/13/2018         ,"[{""user_1"":{""id"":""de2c907fe00969b0542b5bd9f54ed50b""},""user_2"":{""id"":""712e441229f91aa83adc7d2e87db31eb""}}]"
36   ,721        ,36        ,2019-11-17 02:34:55 ,2017-03-11 14:17:37 ,other         ,8/4/2019          ,"[{""user_1"":{""id"":""0c673c8f0a4dc43d23586e0c20f3b30d""},""user_2"":{""id"":""d0803e0626f17fa7cd39d108eda926ae""}}]"
37   ,305        ,37        ,2019-12-14 15:55:40 ,2018-03-18 07:55:19 ,jaffle issue  ,4/18/2018         ,"[{""user_1"":{""id"":""8f752129bc56c456a539298900fa4216""},""user_2"":{""id"":""dae924451ea60fc9649d8fc5f751088a""}}]"
38   ,614        ,38        ,2017-10-30 10:25:03 ,2018-07-28 01:50:18 ,payment issue ,4/13/2019         ,"[{""user_1"":{""id"":""be87ebba9d45bb5219f60e9391303ff0""},""user_2"":{""id"":""86ff8feb988c40e9600ee83791fbb5eb""}}]"
39   ,68         ,39        ,2018-10-02 09:02:27 ,2017-12-18 14:18:41 ,other         ,7/23/2017         ,"[{""user_1"":{""id"":""b20737eb4410208c77ed81581e478597""},""user_2"":{""id"":""a83bdb1aa9a75409376f49cc40420e6d""}}]"
40   ,67         ,40        ,2017-02-28 14:34:31 ,2019-01-09 17:01:42 ,other         ,4/23/2019         ,"[{""user_1"":{""id"":""1f06e57d3e54498eeca315f72052bde4""},""user_2"":{""id"":null}}]"
41   ,872        ,41        ,2018-09-27 15:27:25 ,2019-11-23 09:39:05 ,payment issue ,9/30/2018         ,"[{""user_1"":{""id"":""96f9b9d797a390bd6a5e4828c6518426""},""user_2"":{""id"":""2549a3ffd9342d93cd15414aba069aa6""}}]"
42   ,991        ,42        ,2018-02-24 11:28:58 ,2017-04-18 14:45:01 ,other         ,7/30/2019         ,"[{""user_1"":{""id"":""6d457be4a4c6bbdb6ab5d9a58c5af1e7""},""user_2"":{""id"":null}}]"
43   ,556        ,43        ,2018-01-26 05:06:48 ,2017-08-04 14:28:06 ,jaffle issue  ,4/27/2019         ,"[{""user_1"":{""id"":""f2d4aa1a83e40f3342e71918953722d4""},""user_2"":{""id"":""7a33b81d0e876de307bac8eb182c2f73""}}]"
44   ,478        ,          ,2019-10-07 21:36:24 ,2017-05-23 07:17:47 ,other         ,                  ,"[{""user_1"":{""id"":""8516e2aa579725ca0600d262b44a5f3e""},""user_2"":{""id"":null}}]"
45   ,908        ,45        ,2018-06-30 09:19:00 ,2017-01-24 01:46:50 ,jaffle issue  ,2/2/2019          ,"[{""user_1"":{""id"":""9067e7c08a51e1af34362db09361e996""},""user_2"":{""id"":""a9abcdeda22217198e887a619acb918f""}}]"
46   ,375        ,46        ,2019-08-29 05:08:39 ,2019-01-22 08:30:30 ,other         ,10/27/2019        ,"[{""user_1"":{""id"":""aedd3b01717380e8d29922b97a52c3aa""},""user_2"":{""id"":""2ad75e9286b9b0dab2b7650f0a78448b""}}]"
47   ,579        ,47        ,2017-04-10 09:24:18 ,2018-06-26 21:52:48 ,jaffle issue  ,7/28/2017         ,"[{""user_1"":{""id"":""f291535102a371119d2c23667f398165""},""user_2"":{""id"":""5f6d1c0dd28bedcbbfd8f8458b2d028f""}}]"
48   ,324        ,48        ,2018-06-02 14:15:44 ,2017-10-23 03:37:28 ,other         ,8/25/2019         ,"[{""user_1"":{""id"":""1c9d48eea855b2a5b8184a70ce912c95""},""user_2"":{""id"":""1bea9e7206a211aaaa6867e3dfe76f6f""}}]"
49   ,421        ,49        ,2018-11-12 03:03:39 ,2018-05-27 00:53:07 ,payment issue ,3/21/2018         ,"[{""user_1"":{""id"":""842a7861dfdf6da0137139f85bf997ee""},""user_2"":{""id"":""5173ed6c9516aa09627e3f5a37b4b656""}}]"
50   ,625        ,50        ,2017-06-06 10:09:16 ,2018-06-13 11:18:08 ,jaffle issue  ,1/27/2017         ,"[{""user_1"":{""id"":""7f82aa0c65ba2825b4d9a0e89b98ae6f""},""user_2"":{""id"":""3ad53aa366253740a0c020983afc1347""}}]"
51   ,972        ,51        ,2017-03-16 19:54:08 ,2019-04-01 04:44:17 ,payment issue ,6/26/2017         ,"[{""user_1"":{""id"":""ba6f85e698f31f55edb16ed2ef9de79e""},""user_2"":{""id"":null}}]"
52   ,182        ,52        ,2018-08-14 22:57:40 ,2018-08-26 20:53:52 ,other         ,9/4/2017          ,"[{""user_1"":{""id"":""cbb2eb6144296b3b04ca0ae57c5f5852""},""user_2"":{""id"":""0b11fb8afeb5cfb64f6d86e913cf5ba9""}}]"
53   ,231        ,          ,2017-09-27 01:17:43 ,2018-04-06 02:09:33 ,jaffle issue  ,                  ,"[{""user_1"":{""id"":""b75804eacbec19b6787ee97498d4a225""},""user_2"":{""id"":""cbf90be01f069159582ea4902a435135""}}]"
54   ,309        ,54        ,2019-08-16 07:04:55 ,2019-04-19 06:36:32 ,other         ,7/23/2018         ,"[{""user_1"":{""id"":""bf4a51f1ddaf4f4a633347341c3af957""},""user_2"":{""id"":""8d3595ef4cd278f5954377024392853a""}}]"
55   ,491        ,55        ,2019-12-14 05:40:37 ,2017-06-08 02:30:56 ,other         ,10/25/2019        ,"[{""user_1"":{""id"":""c4f6e25b186c68971216cf9a80e77956""},""user_2"":{""id"":""1b5090a28f6c1c512e9177c126185ae1""}}]"
56   ,651        ,          ,2019-08-21 05:14:20 ,2019-10-07 16:44:59 ,jaffle issue  ,                  ,"[{""user_1"":{""id"":""9c8c61f98f97abb3000ab9bdb253bfe9""},""user_2"":{""id"":""3160e39c9cf2a2a1c9070361e207bb63""}}]"
57   ,142        ,57        ,2019-02-04 06:10:32 ,2018-11-01 23:38:30 ,other         ,3/11/2019         ,"[{""user_1"":{""id"":""8e5267a4c74506102c189474135ce8ec""},""user_2"":{""id"":""1d42890051554c5352c23040cdc4b16e""}}]"
58   ,234        ,58        ,2018-12-24 21:38:57 ,2017-03-17 15:11:49 ,jaffle issue  ,1/31/2018         ,"[{""user_1"":{""id"":""a1ad2f019a3e90622e4e0a8846339fe7""},""user_2"":{""id"":null}}]"
59   ,435        ,59        ,2018-04-20 09:54:22 ,2018-09-29 14:42:51 ,other         ,2/28/2018         ,"[{""user_1"":{""id"":""2cd9e27a0e5c22fb4a206e27df58a7f8""},""user_2"":{""id"":""be9547c7deac885f6ebc6f3e4c8cba3a""}}]"
60   ,214        ,60        ,2019-07-03 12:43:29 ,2018-03-06 03:58:14 ,jaffle issue  ,2/11/2017         ,"[{""user_1"":{""id"":""13f6c865615bb7576a92bdd2277e20b9""},""user_2"":{""id"":""19b0622f07309b7f63bd1eb653277386""}}]"
61   ,761        ,61        ,2019-03-31 05:54:45 ,2017-09-17 00:07:53 ,payment issue ,2/26/2019         ,"[{""user_1"":{""id"":""1ef7a155870337bc1924f3c7c8a5ba4b""},""user_2"":{""id"":""2dc4249cd00c9af8104af3ac34a0c1e0""}}]"
62   ,40         ,          ,2019-07-29 02:51:58 ,2017-03-14 11:53:05 ,other         ,                  ,"[{""user_1"":{""id"":""5f832a9b50d305ba50115ec77c2bceaa""},""user_2"":{""id"":""efeeada88257a63d90776446592325f1""}}]"
63   ,739        ,          ,2017-11-14 06:18:39 ,2018-04-07 23:37:09 ,other         ,                  ,"[{""user_1"":{""id"":""39885390f6408606ee58c1cd23d1f4fe""},""user_2"":{""id"":""073561e3a2c1291f6ea8f9040bd48bc0""}}]"
64   ,216        ,64        ,2018-03-05 11:17:02 ,2018-06-13 22:51:55 ,payment issue ,9/25/2017         ,"[{""user_1"":{""id"":""584cddb99ff754d3a1bc0df254cdb8cd""},""user_2"":{""id"":""8d8286a7d1826630fc87fb875787d650""}}]"
65   ,954        ,65        ,2019-09-03 16:09:01 ,2019-12-04 03:56:55 ,other         ,5/5/2018          ,"[{""user_1"":{""id"":""3ea23df66bffaf2e0be2245b9bbe8add""},""user_2"":{""id"":null}}]"
66   ,298        ,66        ,2019-05-16 18:55:27 ,2017-12-20 05:29:01 ,other         ,2/3/2018          ,"[{""user_1"":{""id"":""4bd578cd2cd30151ad6f1b7377e185f3""},""user_2"":{""id"":""4ecd7ca8bcba51be0dfa11ab30ee4dc1""}}]"
67   ,512        ,67        ,2019-10-30 23:46:59 ,2019-07-05 11:37:54 ,jaffle issue  ,9/16/2019         ,"[{""user_1"":{""id"":""57c9b136f4ac80f4715bbd3227eaaaec""},""user_2"":{""id"":""49e14cb195907250e2796667ba1fa47b""}}]"
68   ,548        ,68        ,2017-08-16 00:33:12 ,2018-11-02 08:13:56 ,payment issue ,8/22/2018         ,"[{""user_1"":{""id"":""51842694bb96322c58296c1f01665a7b""},""user_2"":{""id"":""97ecd7503e64d469517ff386c345aea4""}}]"
69   ,726        ,69        ,2017-09-01 03:53:10 ,2017-10-22 14:04:56 ,jaffle issue  ,1/30/2019         ,"[{""user_1"":{""id"":""2e69a1408c8ac524acf6c33f40f20334""},""user_2"":{""id"":""9258dedc681e54af3262345de716035f""}}]"
70   ,175        ,70        ,2019-03-06 02:48:09 ,2017-04-24 00:39:07 ,jaffle issue  ,10/26/2019        ,"[{""user_1"":{""id"":""ca35935bb24a3dbf964a80a66ddb19a1""},""user_2"":{""id"":null}}]"
71   ,523        ,71        ,2019-06-24 12:08:51 ,2019-06-09 03:32:16 ,payment issue ,2/25/2019         ,"[{""user_1"":{""id"":""248ab2f03b9ee3ac4d7e6582b9bf9ccd""},""user_2"":{""id"":null}}]"
72   ,643        ,72        ,2019-04-27 18:15:48 ,2017-05-10 21:31:39 ,jaffle issue  ,9/22/2018         ,"[{""user_1"":{""id"":""35dee8c453c0640f2015b8df3781a25a""},""user_2"":{""id"":""6b510a629e37f8d1d3fae6fa5ce673f5""}}]"
73   ,673        ,          ,2018-07-12 08:40:17 ,2018-05-30 14:08:39 ,other         ,                  ,"[{""user_1"":{""id"":""cbbe136cc9ad61d62f1ecbc5b0055a17""},""user_2"":{""id"":""2c82d942585ca1963f6719b207ba3a94""}}]"
74   ,51         ,74        ,2017-12-18 13:07:03 ,2019-01-24 07:34:16 ,other         ,5/18/2019         ,"[{""user_1"":{""id"":""19e3a493d6207337ef37540e284f7683""},""user_2"":{""id"":""06c3ef24b0079e05f43a96eb5784b9f9""}}]"
75   ,375        ,75        ,2017-05-25 05:33:17 ,2018-09-23 18:55:56 ,other         ,10/11/2018        ,"[{""user_1"":{""id"":""dd011f39e0b3b4c8a8b9d112e931783f""},""user_2"":{""id"":""4adf696b193e83d88bbb90b8bf674301""}}]"
76   ,850        ,          ,2019-10-21 15:09:02 ,2018-01-08 15:45:00 ,jaffle issue  ,                  ,"[{""user_1"":{""id"":""d6fdab1d3d44cbb7804f65f4bfab8252""},""user_2"":{""id"":""cbde690700d1f21a6997bf5828c467c9""}}]"
77   ,434        ,          ,2018-08-11 01:58:02 ,2017-05-30 10:08:20 ,other         ,                  ,"[{""user_1"":{""id"":""4019cd008155d4a2f4d4141c2967b4b0""},""user_2"":{""id"":""e9b63861a2c1fe7a652dd7d0b8dfabc1""}}]"
78   ,157        ,          ,2018-07-01 19:11:00 ,2018-09-14 18:31:34 ,other         ,                  ,"[{""user_1"":{""id"":""ccdde5d7432ebf337148146573a88e3a""},""user_2"":{""id"":""3623641535724b9453275cfeb990eb80""}}]"
79   ,204        ,79        ,2017-06-12 16:27:16 ,2017-07-10 02:48:16 ,payment issue ,6/25/2017         ,"[{""user_1"":{""id"":""f177a246230ed2166e35f58baa22be93""},""user_2"":{""id"":""966aae8f44c5b6effb8c8b2f83cb8dfc""}}]"
80   ,604        ,80        ,2019-07-12 00:00:07 ,2019-05-15 09:03:05 ,other         ,1/26/2018         ,"[{""user_1"":{""id"":""4d714ddf80d98eec98f32c8083f8c35f""},""user_2"":{""id"":""436a77c52be185739fa1cdfc92eb4ba9""}}]"
81   ,945        ,81        ,2019-07-28 16:30:01 ,2019-01-06 12:31:00 ,other         ,1/6/2019          ,"[{""user_1"":{""id"":""1d186b9880d1df26568509598db57909""},""user_2"":{""id"":""9e0ff21c76b95d9f5d78f95c0488eec4""}}]"
82   ,173        ,82        ,2019-04-30 08:14:26 ,2017-10-22 16:17:12 ,other         ,6/30/2019         ,"[{""user_1"":{""id"":""8a6e23e789a73826e978307cd4def529""},""user_2"":{""id"":""e8ed465d0f4bdeb50f914484d8a8e39f""}}]"
83   ,590        ,          ,2018-06-12 19:06:50 ,2018-11-03 02:49:57 ,other         ,                  ,"[{""user_1"":{""id"":""c209728382ba4650d4f0d05003bd8433""},""user_2"":{""id"":""abb78bb0158613882e9a904ea71f7460""}}]"
84   ,277        ,84        ,2018-05-03 03:52:27 ,2017-06-03 19:13:54 ,other         ,3/30/2017         ,"[{""user_1"":{""id"":""716b41f547215b48ee6ebb4e3b768d8c""},""user_2"":{""id"":""8ea16390ecde1ad06e9d5a50b793ab4f""}}]"
85   ,117        ,85        ,2018-08-15 15:12:30 ,2019-08-20 01:24:55 ,other         ,8/11/2019         ,"[{""user_1"":{""id"":""3eeb76671fe5076f6c0347213fcbcbfd""},""user_2"":{""id"":""47b39212d4a72df82714973563ef9cdc""}}]"
86   ,536        ,          ,2017-03-03 08:49:44 ,2018-12-06 15:28:57 ,payment issue ,                  ,"[{""user_1"":{""id"":""0a691305bbdba1a4e13b1b674cb1b735""},""user_2"":{""id"":""db68ec824a0d43e78830ef9c708a1553""}}]"
87   ,70         ,87        ,2018-07-21 23:43:12 ,2019-05-24 23:40:46 ,other         ,10/3/2018         ,"[{""user_1"":{""id"":""0fed018e9feaf0caa3b7db457cc5aae8""},""user_2"":{""id"":null}}]"
88   ,916        ,          ,2019-12-24 16:44:59 ,2018-03-25 00:52:56 ,payment issue ,                  ,"[{""user_1"":{""id"":""e2f2e5f0f128c9c2f087d963352e5ccb""},""user_2"":{""id"":""71cff884983bba49a6e5c1b987c7215e""}}]"
89   ,454        ,          ,2018-09-16 10:46:19 ,2019-07-16 02:50:53 ,jaffle issue  ,                  ,"[{""user_1"":{""id"":""35322b8b045339c58414367950e00bf4""},""user_2"":{""id"":""02de12977e5b6ba91f9cdb41f402e1b5""}}]"
90   ,443        ,90        ,2019-03-31 01:15:26 ,2017-09-06 16:00:05 ,other         ,3/20/2019         ,"[{""user_1"":{""id"":""7186384ab9f7e97b9493355865a51757""},""user_2"":{""id"":""9e46edfe73c3c624f5c10eebbf794c78""}}]"
91   ,273        ,91        ,2019-07-20 03:10:37 ,2018-12-04 16:20:10 ,payment issue ,1/15/2017         ,"[{""user_1"":{""id"":""ff15c7c1c28da336c72b6ec4bc408bbf""},""user_2"":{""id"":""963477e8464d20ddb03f6e2a3a475609""}}]"
92   ,245        ,92        ,2019-10-25 11:27:54 ,2017-11-14 20:14:14 ,jaffle issue  ,9/6/2018          ,"[{""user_1"":{""id"":""5177d39bf44149b3c672db4239cf812b""},""user_2"":{""id"":null}}]"
93   ,203        ,93        ,2018-11-26 20:12:17 ,2019-07-30 23:51:32 ,payment issue ,12/3/2019         ,"[{""user_1"":{""id"":""27a7cee7f15a289d325a6569b1d6598a""},""user_2"":{""id"":""ad4f1925adfb80db0349a7b287d64a02""}}]"
94   ,252        ,94        ,2018-11-03 08:08:33 ,2017-10-11 01:03:51 ,jaffle issue  ,7/19/2019         ,"[{""user_1"":{""id"":""1bf2f2937fa9c7a12fcf573c03b93d93""},""user_2"":{""id"":""f30e7b7796aff6fd444aaa822ab63283""}}]"
95   ,234        ,95        ,2019-10-29 23:23:38 ,2017-03-29 14:30:26 ,jaffle issue  ,9/23/2018         ,"[{""user_1"":{""id"":""988eb03344fa5284b8700cde87a61e53""},""user_2"":{""id"":""6f2be71174f74d3c02bb7b15abff8efd""}}]"
96   ,111        ,96        ,2019-09-13 13:51:32 ,2019-08-02 05:37:08 ,payment issue ,10/12/2017        ,"[{""user_1"":{""id"":""daf676462b7dbad74f5619276fda29fc""},""user_2"":{""id"":null}}]"
97   ,18         ,          ,2017-12-30 00:19:53 ,2019-12-16 00:31:06 ,jaffle issue  ,                  ,"[{""user_1"":{""id"":""7295c8ec01a2fd2c342c641c1ba82009""},""user_2"":{""id"":null}}]"
98   ,226        ,          ,2018-12-29 17:10:37 ,2018-01-16 06:49:08 ,other         ,                  ,"[{""user_1"":{""id"":""a77a8c8f996d0c75800dc0e5137100ce""},""user_2"":{""id"":""f96b8d2122455a777798d357d348c133""}}]"
99   ,655        ,99        ,2017-06-03 15:22:35 ,2018-02-21 13:42:01 ,payment issue ,10/26/2018        ,"[{""user_1"":{""id"":""5fddb535b2c8a76d3d3e76b293a9080a""},""user_2"":{""id"":""602d2a893890222834dea8ee4c79be8f""}}]"
100  ,70         ,100       ,2019-06-21 04:48:40 ,2018-04-07 17:36:15 ,payment issue ,1/15/2018         ,"[{""user_1"":{""id"":""6ed28024eb6bca00090745a85e2cf5c9""},""user_2"":{""id"":null}}]"
101  ,303        ,101       ,2019-01-13 11:14:46 ,2019-08-12 12:54:28 ,jaffle issue  ,12/30/2017        ,"[{""user_1"":{""id"":""72c3b01c58d36a9ddde3a087af430b0b""},""user_2"":{""id"":null}}]"
102  ,591        ,102       ,2019-04-25 00:47:09 ,2018-12-07 01:03:10 ,payment issue ,7/13/2019         ,"[{""user_1"":{""id"":""624428243cc4aa60d364435b31e82229""},""user_2"":{""id"":""3aadefae54198a87aacfecb0322eeedb""}}]"
103  ,289        ,          ,2017-03-13 20:07:43 ,2019-06-30 13:52:37 ,other         ,                  ,"[{""user_1"":{""id"":""12ef7aa95205ebb7a5e619f3f2809e86""},""user_2"":{""id"":""f5a9a5c91f7354641aa0949446e1956c""}}]"
104  ,973        ,104       ,2018-07-05 03:34:17 ,2017-09-28 23:29:05 ,payment issue ,9/17/2017         ,"[{""user_1"":{""id"":""2989ed674bb1053fb6685e916a0a55e8""},""user_2"":{""id"":""0a8500ff2373d06f4c82a50d238b5f73""}}]"
105  ,158        ,105       ,2018-12-17 09:44:33 ,2018-01-01 01:52:10 ,other         ,10/23/2019        ,"[{""user_1"":{""id"":""ffbe16bf423400b1e8355998001b4e32""},""user_2"":{""id"":""df8b2ca5e7d2b656ff75bcded6a185f9""}}]"
106  ,795        ,106       ,2019-09-10 05:39:13 ,2017-01-21 09:33:03 ,other         ,11/17/2017        ,"[{""user_1"":{""id"":""4766663dbd72d3945907fd16c7ddb8c2""},""user_2"":{""id"":""fc7af402a3901c9a9c7227619283b559""}}]"
107  ,142        ,107       ,2017-09-20 11:04:54 ,2018-07-04 06:56:14 ,payment issue ,11/6/2018         ,"[{""user_1"":{""id"":""3517d2f4079fa93a8fc18fa319d44336""},""user_2"":{""id"":""2783bec99c1d7631f4a3231ad06102c8""}}]"
108  ,766        ,          ,2019-12-03 11:10:19 ,2017-11-17 12:17:51 ,payment issue ,                  ,"[{""user_1"":{""id"":""3d87bc8eef7ff04e41eb7b87924f18d4""},""user_2"":{""id"":null}}]"
